Image name,Label,X-low,Y-low,X-high,Y-high
0.jpeg,2540,89,129,116,171
0.jpeg,3001,373,27,407,71
0.jpeg,3003,43,23,92,71
0.jpeg,3004,251,289,313,367
0.jpeg,3020,87,17,162,89
0.jpeg,3021,267,379,329,451
0.jpeg,3022,126,161,159,201
0.jpeg,3023,234,92,308,150
0.jpeg,3039,293,180,326,220
0.jpeg,3660,434,224,489,278
1.jpeg,2540,79,45,132,97
1.jpeg,3001,62,373,142,436
1.jpeg,3003,152,265,208,335
1.jpeg,3004,225,176,280,248
1.jpeg,3020,20,103,91,142
1.jpeg,3021,307,42,364,98
1.jpeg,3022,494,296,559,364
1.jpeg,3023,387,85,428,112
1.jpeg,3039,119,21,175,90
1.jpeg,3660,246,26,313,96
2.jpeg,2540,586,81,638,144
2.jpeg,3001,315,81,359,131
2.jpeg,3003,334,185,402,243
2.jpeg,3004,368,195,409,248
2.jpeg,3020,555,357,619,409
2.jpeg,3021,79,160,138,198
2.jpeg,3022,360,10,407,59
2.jpeg,3023,84,33,160,107
2.jpeg,3039,308,9,356,61
2.jpeg,3660,5,12,62,68
3.jpeg,2540,469,65,527,131
3.jpeg,3001,480,191,502,232
3.jpeg,3003,436,146,499,204
3.jpeg,3004,54,302,109,360
3.jpeg,3020,154,47,200,86
3.jpeg,3021,75,313,122,376
3.jpeg,3022,301,133,349,173
3.jpeg,3023,73,312,125,380
3.jpeg,3039,38,308,89,357
3.jpeg,3660,393,35,423,89
4.jpeg,2540,483,238,523,274
4.jpeg,3001,205,131,236,187
4.jpeg,3003,507,47,554,90
4.jpeg,3004,528,1,562,53
4.jpeg,3020,80,7,133,56
4.jpeg,3021,270,365,327,425
4.jpeg,3022,303,155,340,197
4.jpeg,3023,69,72,126,143
4.jpeg,3039,25,101,70,181
4.jpeg,3660,96,357,152,398
5.jpeg,2540,496,30,544,83
5.jpeg,3001,386,55,459,125
5.jpeg,3003,69,351,128,407
5.jpeg,3004,63,367,104,406
5.jpeg,3020,558,184,623,227
5.jpeg,3021,84,303,152,362
5.jpeg,3022,132,1,199,40
5.jpeg,3023,494,332,535,366
5.jpeg,3039,398,102,457,163
5.jpeg,3660,29,385,75,432
6.jpeg,2540,428,253,491,297
6.jpeg,3001,197,157,242,218
6.jpeg,3003,295,373,354,440
6.jpeg,3004,256,298,329,349
6.jpeg,3020,107,76,170,147
6.jpeg,3021,104,303,167,379
6.jpeg,3022,410,285,439,365
6.jpeg,3023,528,155,584,190
6.jpeg,3039,148,3,207,61
6.jpeg,3660,429,346,494,404
7.jpeg,2540,494,90,563,124
7.jpeg,3001,451,45,509,80
7.jpeg,3003,290,19,338,69
7.jpeg,3004,434,400,454,440
7.jpeg,3020,240,144,299,210
7.jpeg,3021,3,19,75,94
7.jpeg,3022,519,228,559,274
7.jpeg,3023,548,65,574,127
7.jpeg,3039,458,130,525,181
7.jpeg,3660,391,389,464,459
8.jpeg,2540,339,337,393,386
8.jpeg,3001,340,186,371,240
8.jpeg,3003,444,197,503,257
8.jpeg,3004,439,64,478,115
8.jpeg,3020,281,126,306,168
8.jpeg,3021,204,209,277,288
8.jpeg,3022,213,308,287,355
8.jpeg,3023,542,359,571,403
8.jpeg,3039,269,87,321,135
8.jpeg,3660,538,269,604,338
9.jpeg,2540,143,273,196,321
9.jpeg,3001,200,80,280,147
9.jpeg,3003,215,2,268,52
9.jpeg,3004,375,88,409,131
9.jpeg,3020,507,166,567,238
9.jpeg,3021,17,394,49,440
9.jpeg,3022,180,237,233,304
9.jpeg,3023,186,131,242,198
9.jpeg,3039,402,292,476,369
9.jpeg,3660,501,148,541,190
