Image name,Label,X-low,Y-low,X-high,Y-high
0.jpeg,2540,398,253,421,304
0.jpeg,3001,247,167,321,228
0.jpeg,3003,364,8,421,67
0.jpeg,3004,482,173,548,230
0.jpeg,3020,244,253,324,308
0.jpeg,3021,162,320,222,393
0.jpeg,3022,544,244,589,271
0.jpeg,3023,261,0,316,62
0.jpeg,3039,8,262,57,299
0.jpeg,3660,145,254,207,317
1.jpeg,2540,46,273,105,302
1.jpeg,3001,186,179,234,207
1.jpeg,3003,366,273,410,313
1.jpeg,3004,292,166,330,226
1.jpeg,3020,487,181,531,222
1.jpeg,3021,390,181,437,230
1.jpeg,3022,173,340,234,395
1.jpeg,3023,491,25,543,70
1.jpeg,3039,386,87,430,139
1.jpeg,3660,134,16,192,67
2.jpeg,2540,256,170,319,238
2.jpeg,3001,272,12,305,76
2.jpeg,3003,23,324,74,383
2.jpeg,3004,274,325,343,390
2.jpeg,3020,272,107,313,150
2.jpeg,3021,125,100,182,125
2.jpeg,3022,381,271,431,316
2.jpeg,3023,482,245,558,288
2.jpeg,3039,164,166,237,234
2.jpeg,3660,521,170,567,221
3.jpeg,2540,42,1,102,47
3.jpeg,3001,368,98,422,139
3.jpeg,3003,378,24,449,70
3.jpeg,3004,126,97,201,160
3.jpeg,3020,512,85,540,144
3.jpeg,3021,6,276,73,309
3.jpeg,3022,364,340,443,398
3.jpeg,3023,435,276,476,319
3.jpeg,3039,167,179,228,229
3.jpeg,3660,483,5,537,77
4.jpeg,2540,256,166,301,210
4.jpeg,3001,361,118,411,148
4.jpeg,3003,136,24,197,80
4.jpeg,3004,165,80,237,135
4.jpeg,3020,258,248,328,301
4.jpeg,3021,11,200,78,237
4.jpeg,3022,285,0,353,63
4.jpeg,3023,39,370,90,399
4.jpeg,3039,379,240,456,320
4.jpeg,3660,11,241,50,307
5.jpeg,2540,16,13,57,78
5.jpeg,3001,378,241,434,305
5.jpeg,3003,488,334,564,396
5.jpeg,3004,262,256,317,320
5.jpeg,3020,71,172,120,210
5.jpeg,3021,317,41,359,80
5.jpeg,3022,520,243,597,319
5.jpeg,3023,568,7,587,55
5.jpeg,3039,162,320,234,400
5.jpeg,3660,266,80,342,155
6.jpeg,2540,192,168,239,214
6.jpeg,3001,555,187,578,230
6.jpeg,3003,490,2,564,68
6.jpeg,3004,378,188,426,236
6.jpeg,3020,498,242,545,294
6.jpeg,3021,287,85,359,134
6.jpeg,3022,494,338,566,389
6.jpeg,3023,490,92,548,116
6.jpeg,3039,279,262,353,313
6.jpeg,3660,22,12,71,67
7.jpeg,2540,409,83,470,129
7.jpeg,3001,127,267,177,302
7.jpeg,3003,529,180,592,236
7.jpeg,3004,361,12,416,66
7.jpeg,3020,40,242,97,317
7.jpeg,3021,25,22,62,65
7.jpeg,3022,125,82,198,154
7.jpeg,3023,382,265,427,290
7.jpeg,3039,380,184,427,236
7.jpeg,3660,60,164,111,218
8.jpeg,2540,481,0,554,76
8.jpeg,3001,516,162,581,205
8.jpeg,3003,424,114,467,150
8.jpeg,3004,511,265,569,308
8.jpeg,3020,59,93,102,144
8.jpeg,3021,273,256,342,318
8.jpeg,3022,361,24,433,58
8.jpeg,3023,387,351,420,391
8.jpeg,3039,122,26,169,76
8.jpeg,3660,39,1,106,70
9.jpeg,2540,485,94,533,139
9.jpeg,3001,125,88,162,154
9.jpeg,3003,397,320,474,398
9.jpeg,3004,120,17,159,71
9.jpeg,3020,246,81,319,159
9.jpeg,3021,495,4,554,49
9.jpeg,3022,159,164,226,214
9.jpeg,3023,1,323,53,400
9.jpeg,3039,11,242,69,312
9.jpeg,3660,307,335,355,380
