Image name,Label,X-low,Y-low,X-high,Y-high
0.jpeg,3003,96,345,114,364
0.jpeg,3022,461,130,537,185
0.jpeg,3023,460,246,567,362
0.jpeg,3022,204,128,288,197
0.jpeg,3004,150,110,191,149
0.jpeg,3004,375,199,442,265
0.jpeg,3004,548,371,569,388
0.jpeg,3023,7,183,67,242
0.jpeg,3003,206,81,244,123
0.jpeg,3004,352,298,418,370
0.jpeg,3022,444,198,476,221
0.jpeg,3022,373,51,416,88
0.jpeg,3023,343,40,471,153
0.jpeg,3003,209,95,233,118
0.jpeg,3023,345,269,381,287
0.jpeg,3023,428,17,466,75
0.jpeg,3004,382,242,401,255
0.jpeg,3004,268,71,289,101
0.jpeg,3003,277,191,374,289
0.jpeg,3023,215,90,239,110
0.jpeg,3022,34,62,90,133
0.jpeg,3003,277,48,360,117
0.jpeg,3022,142,307,210,380
0.jpeg,3023,293,292,316,336
0.jpeg,3023,222,252,248,281
0.jpeg,3022,23,175,91,233
1.jpeg,3003,111,297,170,344
1.jpeg,3003,39,232,118,294
1.jpeg,3003,180,164,271,252
1.jpeg,3022,350,13,385,47
1.jpeg,3023,104,304,171,339
1.jpeg,3003,531,0,555,25
1.jpeg,3023,110,31,143,47
1.jpeg,3003,74,105,104,135
2.jpeg,3004,497,299,531,342
2.jpeg,3003,146,100,180,133
2.jpeg,3022,116,212,156,247
2.jpeg,3023,75,210,112,240
2.jpeg,3004,82,178,132,227
2.jpeg,3023,325,137,369,161
2.jpeg,3022,488,269,569,360
2.jpeg,3023,340,63,390,111
2.jpeg,3003,285,170,363,246
2.jpeg,3023,198,2,325,98
2.jpeg,3003,23,87,113,170
2.jpeg,3022,113,175,200,223
2.jpeg,3023,400,212,458,247
2.jpeg,3004,105,82,131,100
2.jpeg,3023,214,234,271,264
2.jpeg,3003,79,165,151,244
2.jpeg,3023,75,310,110,365
2.jpeg,3023,285,238,334,311
2.jpeg,3004,65,166,129,247
2.jpeg,3003,407,12,509,95
2.jpeg,3023,290,343,322,366
2.jpeg,3003,326,324,367,357
2.jpeg,3003,222,116,291,187
2.jpeg,3004,391,260,426,290
2.jpeg,3023,296,15,409,137
2.jpeg,3004,117,273,199,330
2.jpeg,3003,7,243,46,290
2.jpeg,3004,371,121,390,142
2.jpeg,3022,236,32,292,121
2.jpeg,3004,470,227,538,309
2.jpeg,3023,115,182,133,195
2.jpeg,3004,428,121,447,137
2.jpeg,3022,36,98,93,178
2.jpeg,3023,97,222,126,266
2.jpeg,3023,511,69,536,98
2.jpeg,3023,83,130,134,190
2.jpeg,3004,473,215,507,246
2.jpeg,3004,161,1,216,68
2.jpeg,3004,184,347,206,368
2.jpeg,3023,388,232,413,268
2.jpeg,3004,325,154,425,234
2.jpeg,3004,183,23,217,49
2.jpeg,3003,353,105,440,188
2.jpeg,3003,453,260,540,325
2.jpeg,3022,252,15,291,112
2.jpeg,3004,40,228,67,254
2.jpeg,3003,302,177,369,252
2.jpeg,3003,116,60,173,124
2.jpeg,3003,425,196,521,293
3.jpeg,3004,221,219,240,233
3.jpeg,3004,365,121,388,139
3.jpeg,3022,107,291,173,350
3.jpeg,3023,225,121,279,184
3.jpeg,3023,509,99,542,138
3.jpeg,3022,226,259,265,311
4.jpeg,3022,26,14,75,58
4.jpeg,3022,489,249,574,341
4.jpeg,3003,261,65,332,140
4.jpeg,3023,339,262,413,326
4.jpeg,3003,363,233,472,342
4.jpeg,3022,340,95,408,166
4.jpeg,3003,375,40,402,62
4.jpeg,3004,397,319,499,396
4.jpeg,3023,380,330,407,347
4.jpeg,3022,383,109,507,228
4.jpeg,3004,340,80,399,132
4.jpeg,3003,315,149,337,174
4.jpeg,3004,392,120,433,150
4.jpeg,3023,315,142,356,177
4.jpeg,3004,251,39,286,74
4.jpeg,3022,4,183,22,194
4.jpeg,3023,28,197,103,239
4.jpeg,3004,403,162,432,218
4.jpeg,3003,289,95,405,186
4.jpeg,3023,500,109,560,147
4.jpeg,3023,483,208,546,279
4.jpeg,3022,99,320,144,373
4.jpeg,3004,473,21,528,73
4.jpeg,3023,135,181,161,213
4.jpeg,3022,485,290,531,345
4.jpeg,3004,162,357,184,377
4.jpeg,3022,554,321,583,365
4.jpeg,3022,6,53,44,106
4.jpeg,3023,26,152,162,243
4.jpeg,3022,49,105,126,151
4.jpeg,3004,395,218,451,274
4.jpeg,3023,456,10,510,45
6.jpeg,3003,345,137,368,161
6.jpeg,3003,149,27,209,93
6.jpeg,3004,265,167,317,240
6.jpeg,3023,218,22,305,108
7.jpeg,3022,376,200,396,215
7.jpeg,3023,416,345,449,373
7.jpeg,3004,238,74,317,149
7.jpeg,3003,225,181,306,249
7.jpeg,3022,300,127,323,137
7.jpeg,3004,41,40,74,74
7.jpeg,3003,441,50,482,90
7.jpeg,3022,12,8,70,114
7.jpeg,3023,380,244,448,280
7.jpeg,3023,178,1,237,63
7.jpeg,3003,113,167,161,216
7.jpeg,3004,334,155,385,211
7.jpeg,3003,370,214,463,302
7.jpeg,3004,200,163,267,225
7.jpeg,3003,19,259,57,297
7.jpeg,3004,53,217,78,239
7.jpeg,3022,121,141,146,167
7.jpeg,3022,190,261,259,330
7.jpeg,3022,436,297,466,327
7.jpeg,3022,135,63,165,93
7.jpeg,3004,57,20,119,81
7.jpeg,3004,137,197,164,233
7.jpeg,3003,238,253,278,287
7.jpeg,3023,481,349,504,382
7.jpeg,3023,325,167,370,205
7.jpeg,3003,291,303,313,321
7.jpeg,3004,439,196,492,242
7.jpeg,3023,61,136,91,152
7.jpeg,3003,441,170,536,261
8.jpeg,3022,74,144,135,212
8.jpeg,3023,499,236,529,252
8.jpeg,3023,128,86,195,124
8.jpeg,3003,77,208,160,273
8.jpeg,3003,200,285,274,365
8.jpeg,3022,216,145,267,192
8.jpeg,3022,280,360,313,389
8.jpeg,3004,7,134,18,155
8.jpeg,3023,301,190,367,243
8.jpeg,3022,440,81,504,117
8.jpeg,3004,416,40,434,65
8.jpeg,3023,126,182,188,244
8.jpeg,3003,163,72,249,164
8.jpeg,3023,180,153,218,187
8.jpeg,3004,283,171,339,229
8.jpeg,3004,124,17,168,75
8.jpeg,3004,453,82,489,112
8.jpeg,3023,176,340,189,361
8.jpeg,3003,422,221,448,245
8.jpeg,3003,456,105,529,177
8.jpeg,3022,264,190,336,241
8.jpeg,3023,3,76,81,128
8.jpeg,3023,457,139,522,196
8.jpeg,3004,126,152,165,197
8.jpeg,3023,149,166,217,233
8.jpeg,3004,206,291,218,314
8.jpeg,3023,455,343,482,367
8.jpeg,3003,45,45,130,144
8.jpeg,3003,419,232,497,308
8.jpeg,3004,354,65,408,133
8.jpeg,3003,419,156,446,196
8.jpeg,3003,148,211,202,268
9.jpeg,3003,142,257,201,353
9.jpeg,3003,204,57,288,137
9.jpeg,3004,138,324,178,371
9.jpeg,3004,498,36,522,69
9.jpeg,3023,190,128,217,146
9.jpeg,3004,454,172,539,257
9.jpeg,3022,206,79,247,121
9.jpeg,3004,119,182,144,211
9.jpeg,3004,490,101,553,173
9.jpeg,3004,481,209,557,292
9.jpeg,3004,11,46,102,125
9.jpeg,3022,9,146,43,174
9.jpeg,3004,44,34,71,60
9.jpeg,3003,471,231,510,275
9.jpeg,3023,499,86,513,100
9.jpeg,3023,280,1,347,61
9.jpeg,3023,195,90,271,149
9.jpeg,3023,334,135,386,167
9.jpeg,3004,185,310,245,368
9.jpeg,3022,320,110,359,162
9.jpeg,3023,204,263,261,302
9.jpeg,3003,398,62,401,172
9.jpeg,3003,551,145,570,164
9.jpeg,3023,11,139,34,158
9.jpeg,3003,428,85,511,174
9.jpeg,3022,495,50,575,125
9.jpeg,3003,143,84,206,150
9.jpeg,3004,370,150,413,196
9.jpeg,3004,154,266,216,318
9.jpeg,3023,293,248,321,267
9.jpeg,3022,73,157,109,216
9.jpeg,3023,356,192,417,266
9.jpeg,3004,145,146,160,169
9.jpeg,3023,299,290,342,335
9.jpeg,3023,199,76,247,141
9.jpeg,3003,482,43,528,94
9.jpeg,3022,526,84,557,110
9.jpeg,3003,174,47,243,113
9.jpeg,3004,379,229,432,293
9.jpeg,3003,225,95,263,131
10.jpeg,3022,415,73,478,125
10.jpeg,3004,311,47,352,107
10.jpeg,3023,37,207,101,247
10.jpeg,3003,519,119,588,187
10.jpeg,3022,188,304,282,394
10.jpeg,3022,443,250,512,318
10.jpeg,3023,79,117,109,166
10.jpeg,3023,137,116,174,159
10.jpeg,3003,281,283,349,353
10.jpeg,3003,370,70,424,128
10.jpeg,3023,136,40,151,54
10.jpeg,3023,251,105,287,134
10.jpeg,3022,166,152,270,268
10.jpeg,3003,401,89,423,111
10.jpeg,3003,48,202,95,249
10.jpeg,3004,153,68,230,141
10.jpeg,3023,372,313,395,346
10.jpeg,3023,286,217,335,274
10.jpeg,3004,80,193,112,219
11.jpeg,3004,392,247,425,291
11.jpeg,3023,169,222,208,241
11.jpeg,3004,264,254,309,291
11.jpeg,3003,115,283,178,346
11.jpeg,3004,462,233,527,309
11.jpeg,3003,426,221,493,297
11.jpeg,3004,25,145,80,188
11.jpeg,3022,337,67,449,165
11.jpeg,3022,496,345,526,370
11.jpeg,3004,64,234,144,293
11.jpeg,3023,510,35,541,66
11.jpeg,3004,66,179,146,249
11.jpeg,3004,387,147,406,166
11.jpeg,3004,252,262,291,292
11.jpeg,3022,518,44,540,59
11.jpeg,3004,532,275,590,353
11.jpeg,3004,437,224,510,272
11.jpeg,3004,414,100,502,176
11.jpeg,3004,279,116,356,172
11.jpeg,3023,118,42,196,93
11.jpeg,3022,286,194,376,284
11.jpeg,3022,189,314,223,339
11.jpeg,3023,268,100,288,124
11.jpeg,3023,140,144,163,175
11.jpeg,3022,292,303,341,381
11.jpeg,3003,248,160,308,212
11.jpeg,3023,471,180,494,215
11.jpeg,3004,398,306,447,357
11.jpeg,3023,420,155,466,182
11.jpeg,3023,104,227,136,260
11.jpeg,3022,491,0,518,24
11.jpeg,3022,129,103,200,161
11.jpeg,3023,506,4,529,27
11.jpeg,3004,270,202,358,309
12.jpeg,3004,32,303,95,375
12.jpeg,3022,256,86,297,142
12.jpeg,3004,189,39,256,118
12.jpeg,3022,432,301,510,357
12.jpeg,3022,34,331,55,354
12.jpeg,3023,258,111,387,210
12.jpeg,3004,486,55,550,104
12.jpeg,3004,101,92,163,179
12.jpeg,3023,267,103,289,121
12.jpeg,3022,333,155,415,242
12.jpeg,3023,343,277,385,302
12.jpeg,3022,324,70,371,142
12.jpeg,3023,149,147,181,180
12.jpeg,3004,143,320,197,383
12.jpeg,3003,206,54,314,147
12.jpeg,3022,271,65,299,82
12.jpeg,3004,108,47,185,121
12.jpeg,3022,468,61,512,99
12.jpeg,3003,206,208,304,306
12.jpeg,3003,386,134,469,215
12.jpeg,3004,341,317,386,351
12.jpeg,3003,189,347,222,383
12.jpeg,3003,288,353,316,380
12.jpeg,3022,484,273,520,313
12.jpeg,3023,486,147,576,207
12.jpeg,3023,364,223,425,267
12.jpeg,3022,443,130,517,176
12.jpeg,3004,148,104,175,151
12.jpeg,3023,23,178,43,205
12.jpeg,3003,109,98,198,189
12.jpeg,3003,213,102,246,136
12.jpeg,3023,421,172,486,238
12.jpeg,3004,411,112,466,159
12.jpeg,3003,319,106,360,140
12.jpeg,3004,156,282,222,334
12.jpeg,3004,340,70,423,137
12.jpeg,3023,365,212,479,289
12.jpeg,3022,82,187,128,188
12.jpeg,3004,261,86,301,141
12.jpeg,3022,494,134,530,210
12.jpeg,3003,231,37,257,60
13.jpeg,3022,252,13,322,70
13.jpeg,3022,408,42,474,96
13.jpeg,3003,377,186,443,260
13.jpeg,3004,452,103,471,121
13.jpeg,3022,531,141,555,166
13.jpeg,3022,388,240,442,299
13.jpeg,3003,108,345,128,362
13.jpeg,3022,240,273,302,341
13.jpeg,3004,198,229,282,298
13.jpeg,3004,175,300,223,361
13.jpeg,3022,115,134,182,205
13.jpeg,3023,225,281,238,297
13.jpeg,3003,99,173,164,235
13.jpeg,3023,65,92,99,118
13.jpeg,3004,232,184,285,218
13.jpeg,3003,398,309,469,373
13.jpeg,3004,272,200,289,211
13.jpeg,3004,255,215,295,252
13.jpeg,3004,231,154,247,175
13.jpeg,3023,214,87,250,129
13.jpeg,3023,463,347,509,371
13.jpeg,3003,93,115,119,141
13.jpeg,3023,235,241,276,316
13.jpeg,3003,405,32,465,96
13.jpeg,3022,230,320,245,344
